"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 23 01:37:37 GMT 2025","Thu Oct 23 01:37:37 GMT 2025","139","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithSQLInjection","Login with SQL injection attempt","Verifies API is protected against SQL injection"
"passed","Thu Oct 23 01:37:36 GMT 2025","Thu Oct 23 01:37:37 GMT 2025","92","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterUserWithLongValues","Register user with very long values","Verifies registration with very long field values"
"passed","Thu Oct 23 01:37:36 GMT 2025","Thu Oct 23 01:37:36 GMT 2025","205","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterDuplicateUser","Attempt to register duplicate user","Verifies that registering the same email twice is handled correctly"
"passed","Thu Oct 23 01:37:35 GMT 2025","Thu Oct 23 01:37:36 GMT 2025","143","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterValidUsers","Register users with valid data","Verifies successful user registration with valid data from users.json"
"passed","Thu Oct 23 01:37:36 GMT 2025","Thu Oct 23 01:37:36 GMT 2025","102","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterInvalidUsers","Register users with invalid data","Verifies proper error handling for invalid registration data"
"passed","Thu Oct 23 01:37:32 GMT 2025","Thu Oct 23 01:37:35 GMT 2025","3131","Automation Test Suite","API Tests","tests.api.RegistrationAPITests","tests.api.RegistrationAPITests","testRegisterValidUsers","Register users with valid data","Verifies successful user registration with valid data from users.json"
"passed","Thu Oct 23 01:37:38 GMT 2025","Thu Oct 23 01:37:38 GMT 2025","82","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginResponseStructure","Verify login response structure","Verifies login API response has correct structure and fields"
"passed","Thu Oct 23 01:37:38 GMT 2025","Thu Oct 23 01:37:38 GMT 2025","453","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testMultipleFailedLoginAttempts","Multiple failed login attempts","Verifies API behavior with multiple failed login attempts"
"passed","Thu Oct 23 01:37:37 GMT 2025","Thu Oct 23 01:37:37 GMT 2025","93","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithInvalidCredentials","Login with invalid credentials","Verifies login endpoint properly rejects invalid credentials"
"passed","Thu Oct 23 01:37:37 GMT 2025","Thu Oct 23 01:37:37 GMT 2025","315","Automation Test Suite","API Tests","tests.api.LoginAPITests","tests.api.LoginAPITests","testLoginWithValidCredentials","Login with valid credentials after registration","Verifies successful login with valid credentials"
